player_name,year_start,year_end,primary_position,weight_lbs,birth_date,college,height_in
Alaa Abdelnaby,1991,1995,F-C,240.0,1968-06-24,Duke University,82.0
Zaid Abdul-Aziz,1969,1978,C-F,235.0,1946-04-07,Iowa State University,81.0
Kareem Abdul-Jabbar,1970,1989,C,225.0,1947-04-16,"University of California, Los Angeles",86.0
Mahmoud Abdul-Rauf,1991,2001,G,162.0,1969-03-09,Louisiana State University,73.0
Tariq Abdul-Wahad,1998,2003,F,223.0,1974-11-03,San Jose State University,78.0
Shareef Abdur-Rahim,1997,2008,F,225.0,1976-12-11,University of California,81.0
Tom Abernethy,1977,1981,F,220.0,1954-05-06,Indiana University,79.0
Forest Able,1957,1957,G,180.0,1932-07-27,Western Kentucky University,75.0
John Abramovic,1947,1948,F,195.0,1919-02-09,Salem International University,75.0
Alex Abrines,2017,2018,G-F,190.0,1993-08-01,,78.0
Alex Acker,2006,2009,G,185.0,1983-01-21,Pepperdine University,77.0
Don Ackerman,1954,1954,G,183.0,1930-09-04,Long Island University,72.0
Mark Acres,1988,1993,F-C,220.0,1962-11-15,Oral Roberts University,83.0
Bud Acton,1968,1968,F,210.0,1942-01-11,Hillsdale College,78.0
Quincy Acy,2013,2018,F,240.0,1990-10-06,Baylor University,79.0
Alvan Adams,1976,1988,C-F,210.0,1954-07-19,University of Oklahoma,81.0
Don Adams,1971,1977,F,210.0,1947-11-27,Northwestern University,78.0
George Adams,1973,1975,F-G,210.0,1949-05-15,Gardner-Webb University,77.0
Hassan Adams,2007,2009,G,220.0,1984-06-20,University of Arizona,76.0
Jordan Adams,2015,2016,G,209.0,1994-07-08,"University of California, Los Angeles",77.0
Michael Adams,1986,1996,G,162.0,1963-01-19,Boston College,70.0
Steven Adams,2014,2018,C,255.0,1993-07-20,University of Pittsburgh,84.0
Rafael Addison,1987,1997,F-G,215.0,1964-07-22,Syracuse University,79.0
Bam Adebayo,2018,2018,C-F,243.0,1997-07-18,University of Kentucky,82.0
Rick Adelman,1969,1975,G,175.0,1946-06-16,Loyola Marymount University,73.0
Jeff Adrien,2011,2015,F,245.0,1986-02-10,University of Connecticut,79.0
Arron Afflalo,2008,2018,G,210.0,1985-10-15,"University of California, Los Angeles",77.0
Maurice Ager,2007,2011,G,202.0,1984-02-09,Michigan State University,77.0
Mark Aguirre,1982,1994,F-G,232.0,1959-12-10,DePaul University,78.0
Blake Ahearn,2008,2012,G,190.0,1984-05-27,Missouri State University,74.0
Danny Ainge,1982,1995,G,175.0,1959-03-17,Brigham Young University,76.0
Matthew Aitch,1968,1968,F,230.0,1944-09-21,Michigan State University,79.0
Alexis Ajinca,2009,2017,C,248.0,1988-05-06,,86.0
Henry Akin,1967,1969,C-F,225.0,1944-07-31,Morehead State University,82.0
Josh Akognon,2013,2013,G,185.0,1986-02-10,"California State University, Fullerton",71.0
Solomon Alabi,2011,2012,C,251.0,1988-03-21,Florida State University,85.0
Mark Alarie,1987,1991,F,217.0,1963-12-11,Duke University,80.0
Gary Alcorn,1960,1961,C,225.0,1936-10-08,"California State University, Fresno",81.0
Furkan Aldemir,2015,2015,F-C,240.0,1991-08-09,,82.0
Cole Aldrich,2011,2018,C,250.0,1988-10-31,University of Kansas,83.0
LaMarcus Aldridge,2007,2018,F-C,260.0,1985-07-19,University of Texas at Austin,83.0
Chuck Aleksinas,1985,1985,C,260.0,1959-02-26,University of Connecticut,83.0
Cliff Alexander,2016,2016,F,245.0,1995-11-16,University of Kansas,80.0
Cory Alexander,1996,2005,G,185.0,1973-06-22,University of Virginia,73.0
Courtney Alexander,2001,2003,G,205.0,1977-04-27,"California State University, Fresno",77.0
Gary Alexander,1994,1994,F,240.0,1969-11-01,University of South Florida,79.0
Joe Alexander,2009,2010,F,230.0,1986-12-26,West Virginia University,80.0
Victor Alexander,1992,2002,C-F,265.0,1969-08-31,Iowa State University,81.0
Steve Alford,1988,1991,G,183.0,1964-11-23,Indiana University,74.0
Bill Allen,1968,1968,C-F,205.0,,New Mexico State University,80.0
Bob Allen,1969,1969,F,205.0,1946-07-17,Marshall University,81.0
Jarrett Allen,2018,2018,F-C,234.0,1998-04-21,University of Texas at Austin,82.0
Jerome Allen,1996,1997,G,184.0,1973-01-28,University of Pennsylvania,76.0
Kadeem Allen,2018,2018,G,192.0,1993-01-15,University of Arizona,75.0
Lavoy Allen,2012,2017,F-C,260.0,1989-02-04,Temple University,81.0
Lucius Allen,1970,1979,G,175.0,1947-09-26,"University of California, Los Angeles",74.0
Malik Allen,2002,2011,F-C,255.0,1978-06-27,Villanova University,82.0
